countryCode,SupplierID,PaperlessDate,invoiceNumber,InvoiceDate,DueDate,InvoiceAmount (in thousands USD),Disputed,SettledDate,PaperlessBill,DaysToSettle,DaysLate
391,NEVHP-379,04-06-2013,611464,01-02-2013,02-01-2013,83.91,Yes,1-15-2013,Electronic,13,0
406,AMJEO-8976,03-03-2012,7900869,1-26-2013,2-25-2013,92.61,No,03-03-2013,Paper,36,6
391,XGXSB-2820,1-26-2012,9232008,07-03-2013,08-02-2013,98.82,Yes,07-08-2013,Paper,5,0
406,YCTQO-9322,04-06-2012,9888405,02-10-2013,03-12-2013,158.88,Yes,3-17-2013,Paper,35,5
818,ELFBK-6627,11-26-2012,15752954,10-25-2012,11-24-2012,108.405,No,11-28-2012,Electronic,34,4
818,SYKLB-5148,8-28-2013,18104615,1-27-2012,2-26-2012,141,No,2-22-2012,Electronic,26,0
897,EEBEO-8690,12-05-2012,23864371,8-13-2013,09-12-2013,112.035,Yes,09-09-2013,Paper,27,0
770,ZXNDN-4460,6-27-2013,27545136,12-16-2012,1-15-2013,112.59,Yes,01-12-2013,Electronic,27,0
770,FXWYK-3831,03-08-2013,28049794,5-14-2012,6-13-2012,120.105,No,07-01-2012,Electronic,48,18
897,DOLHO-7654,04-04-2012,32277800,07-01-2013,7-31-2013,43.497,Yes,7-26-2013,Paper,25,0
770,QUNVJ-3993,12-31-2012,35868101,3-31-2012,4-30-2012,112.995,Yes,4-16-2012,Electronic,16,0
406,DJOZO-5284,09-11-2012,36478676,08-07-2013,09-06-2013,110.025,Yes,8-15-2013,Paper,8,0
818,UOPGH-5924,06-06-2013,36620938,05-08-2013,06-07-2013,135.12,No,06-09-2013,Electronic,32,2
406,LYRCE-9117,07-05-2013,41324293,10-21-2012,11-20-2012,85.755,Yes,11-30-2012,Electronic,40,10
818,NKUXM-7695,11-21-2012,42511205,11-07-2012,12-07-2012,75.03,Yes,11-18-2012,Electronic,11,0
391,BLYDZ-8820,3-19-2013,46372910,2-21-2013,3-23-2013,92.94,Yes,2-28-2013,Electronic,7,0
406,AMJEO-8976,03-03-2012,46937491,5-16-2013,6-15-2013,104.82,Yes,06-04-2013,Paper,19,0
818,SYKLB-5148,8-28-2013,49331432,5-29-2013,6-28-2013,103.2,No,07-10-2013,Electronic,42,12
818,JJMFW-3568,01-09-2012,52765285,10-20-2013,11-19-2013,144.345,No,11-09-2013,Paper,20,0
818,UHVMG-5613,5-31-2012,55416112,11-30-2012,12-30-2012,37.809,No,1-16-2013,Paper,47,17
406,ETVHD-6833,4-30-2012,57081827,11-04-2012,12-04-2012,129.975,Yes,11-29-2012,Paper,25,0
770,WKLVM-7758,02-06-2012,57781665,6-24-2012,7-24-2012,107.235,Yes,08-07-2012,Paper,44,14
818,KITZM-6004,09-01-2013,58393238,01-06-2013,02-05-2013,132.24,Yes,1-29-2013,Electronic,23,0
391,XLGBV-9841,01-03-2013,72381080,2-16-2013,3-18-2013,23.796,Yes,03-06-2013,Paper,18,0
897,EEBEO-8690,12-05-2012,75181346,2-18-2012,3-19-2012,124.995,Yes,3-30-2012,Electronic,41,11
391,PCYBM-8156,03-03-2012,81932834,1-24-2012,2-23-2012,109.05,Yes,03-03-2012,Electronic,39,9
818,HJDUR-7946,2-21-2012,86172033,5-29-2013,6-28-2013,37.521,Yes,6-22-2013,Paper,24,0
770,FXWYK-3831,03-08-2013,93006958,12-24-2012,1-23-2013,22.014,Yes,1-31-2013,Electronic,38,8
406,XCLEH-2621,9-24-2012,97717996,3-31-2013,4-30-2013,106.395,No,6-15-2013,Paper,75,45
818,NCUZC-8887,1-22-2013,101415700,5-31-2012,6-30-2012,36.063,Yes,07-04-2012,Electronic,34,4
897,VLKMI-9286,2-13-2013,101747405,5-27-2013,6-26-2013,87.285,Yes,5-29-2013,Paper,2,0
406,ETVHD-6833,4-30-2012,103483430,7-27-2012,8-26-2012,108.195,Yes,8-18-2012,Paper,22,0
